Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
202301;Enero de 2023;1;Andalucía;4;Almería;04031;Cantoria;198;<5;27;53;5;48;63;16;19;20;126;17
202301;Enero de 2023;1;Andalucía;4;Almería;04032;Carboneras;559;18;79;115;28;140;179;43;37;40;380;59
202301;Enero de 2023;1;Andalucía;4;Almería;04033;Castro de Filabres;5;0;<5;<5;0;<5;<5;0;0;0;5;0
202301;Enero de 2023;1;Andalucía;4;Almería;04034;Cóbdar;11;0;<5;<5;0;<5;0;<5;0;<5;8;0
202301;Enero de 2023;1;Andalucía;4;Almería;04035;Cuevas del Almanzora;954;39;143;182;45;275;270;134;27;93;623;77
202301;Enero de 2023;1;Andalucía;4;Almería;04036;Chercos;20;<5;<5;7;<5;<5;<5;<5;<5;0;13;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04037;Chirivel;64;<5;11;15;<5;17;14;8;<5;5;43;5
202301;Enero de 2023;1;Andalucía;4;Almería;04038;Dalías;221;6;25;59;7;57;67;43;5;27;129;17
202301;Enero de 2023;1;Andalucía;4;Almería;04041;Enix;20;<5;<5;<5;<5;6;5;<5;<5;<5;14;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04043;Felix;39;<5;<5;18;<5;<5;10;8;<5;5;23;0
202301;Enero de 2023;1;Andalucía;4;Almería;04044;Fines;186;8;24;34;6;46;68;14;28;13;116;15
202301;Enero de 2023;1;Andalucía;4;Almería;04045;Fiñana;146;5;23;53;7;31;27;23;19;15;78;11
202301;Enero de 2023;1;Andalucía;4;Almería;04046;Fondón;63;<5;6;26;<5;11;16;6;7;6;42;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04047;Gádor;351;21;65;69;24;86;86;37;19;28;218;49
202301;Enero de 2023;1;Andalucía;4;Almería;04048;Gallardos, Los;123;9;10;25;<5;34;42;10;<5;9;91;11
202301;Enero de 2023;1;Andalucía;4;Almería;04049;Garrucha;736;34;96;150;31;167;258;31;11;55;589;50
202301;Enero de 2023;1;Andalucía;4;Almería;04050;Gérgal;73;<5;18;21;<5;18;11;16;<5;7;38;8
202301;Enero de 2023;1;Andalucía;4;Almería;04051;Huécija;24;<5;<5;6;0;8;5;<5;<5;<5;17;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04052;Huércal de Almería;1560;96;220;303;76;392;473;39;51;114;1209;147
202301;Enero de 2023;1;Andalucía;4;Almería;04053;Huércal-Overa;1139;44;138;212;37;336;372;146;89;81;730;93
202301;Enero de 2023;1;Andalucía;4;Almería;04054;Illar;27;0;7;8;<5;5;6;<5;<5;<5;19;0
202301;Enero de 2023;1;Andalucía;4;Almería;04055;Instinción;20;0;<5;8;0;<5;7;0;0;<5;15;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04056;Laroya;15;0;7;<5;<5;<5;<5;0;<5;<5;10;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04057;Láujar de Andarax;106;<5;5;34;0;19;45;10;11;11;69;5
202301;Enero de 2023;1;Andalucía;4;Almería;04058;Líjar;27;<5;<5;8;<5;<5;9;0;<5;<5;20;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04059;Lubrín;61;<5;10;23;0;16;11;5;6;10;32;8
202301;Enero de 2023;1;Andalucía;4;Almería;04060;Lucainena de las Torres;52;<5;<5;19;<5;13;14;7;<5;5;34;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04061;Lúcar;70;<5;<5;16;6;17;23;6;9;7;41;7
202301;Enero de 2023;1;Andalucía;4;Almería;04062;Macael;476;12;58;100;8;112;186;18;103;22;294;39
202301;Enero de 2023;1;Andalucía;4;Almería;04063;María;46;0;8;13;0;8;17;6;8;<5;28;0
202301;Enero de 2023;1;Andalucía;4;Almería;04064;Mojácar;347;10;43;84;9;61;140;6;9;18;287;27
202301;Enero de 2023;1;Andalucía;4;Almería;04065;Nacimiento;29;<5;<5;5;<5;7;13;<5;11;0;14;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04066;Níjar;1803;57;292;437;68;473;476;505;51;117;943;187
202301;Enero de 2023;1;Andalucía;4;Almería;04067;Ohanes;46;0;7;19;<5;7;12;<5;<5;<5;34;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04068;Olula de Castro;9;0;0;5;0;<5;<5;<5;0;<5;6;0
202301;Enero de 2023;1;Andalucía;4;Almería;04069;Olula del Río;578;11;63;136;21;146;201;30;81;49;376;42
202301;Enero de 2023;1;Andalucía;4;Almería;04070;Oria;88;8;19;19;<5;19;22;6;8;11;53;10
202301;Enero de 2023;1;Andalucía;4;Almería;04071;Padules;22;0;<5;13;0;<5;<5;<5;0;<5;18;0
202301;Enero de 2023;1;Andalucía;4;Almería;04072;Partaloa;14;0;<5;<5;<5;<5;<5;0;<5;<5;10;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04073;Paterna del Río;29;<5;8;8;0;<5;9;<5;<5;<5;23;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04074;Pechina;425;19;57;90;23;115;121;52;13;37;269;54
202301;Enero de 2023;1;Andalucía;4;Almería;04075;Pulpí;362;17;60;73;10;107;95;85;22;31;200;24
202301;Enero de 2023;1;Andalucía;4;Almería;04076;Purchena;105;<5;23;22;<5;24;32;6;17;8;67;7
202301;Enero de 2023;1;Andalucía;4;Almería;04077;Rágol;11;0;<5;<5;0;<5;<5;<5;<5;<5;6;0
202301;Enero de 2023;1;Andalucía;4;Almería;04078;Rioja;197;9;26;49;9;40;64;17;8;15;145;12
202301;Enero de 2023;1;Andalucía;4;Almería;04079;Roquetas de Mar;7661;247;1175;1616;217;2009;2397;858;217;828;5166;592
202301;Enero de 2023;1;Andalucía;4;Almería;04080;Santa Cruz de Marchena;15;0;<5;9;0;0;<5;0;<5;<5;9;0
202301;Enero de 2023;1;Andalucía;4;Almería;04081;Santa Fe de Mondújar;41;<5;<5;15;5;10;6;5;<5;<5;28;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04082;Senés;24;<5;<5;11;0;<5;6;<5;0;<5;18;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04083;Serón;113;<5;13;34;<5;27;33;7;10;7;81;8
202301;Enero de 2023;1;Andalucía;4;Almería;04084;Sierro;35;<5;10;13;<5;<5;6;<5;<5;7;21;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04085;Somontín;25;<5;0;10;0;7;7;<5;<5;<5;18;0
202301;Enero de 2023;1;Andalucía;4;Almería;04086;Sorbas;201;10;42;39;6;53;51;23;14;19;128;17
202301;Enero de 2023;1;Andalucía;4;Almería;04087;Suflí;26;<5;<5;12;0;<5;6;<5;<5;6;13;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04088;Tabernas;335;11;54;102;12;74;82;48;24;40;200;23
202301;Enero de 2023;1;Andalucía;4;Almería;04089;Taberno;52;<5;8;14;<5;17;9;5;8;<5;31;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04090;Tahal;24;<5;7;6;<5;<5;7;<5;0;<5;19;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04091;Terque;33;<5;<5;6;<5;7;12;<5;<5;<5;22;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04092;Tíjola;238;7;38;49;10;56;78;24;26;30;137;21
202301;Enero de 2023;1;Andalucía;4;Almería;04093;Turre;290;17;47;55;12;75;84;17;5;35;207;26
202301;Enero de 2023;1;Andalucía;4;Almería;04094;Turrillas;<5;0;<5;<5;0;<5;<5;0;0;<5;<5;0
202301;Enero de 2023;1;Andalucía;4;Almería;04095;Uleila del Campo;56;<5;<5;14;<5;14;19;5;<5;<5;39;6
202301;Enero de 2023;1;Andalucía;4;Almería;04096;Urrácal;25;<5;<5;<5;0;6;11;<5;<5;<5;13;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04097;Velefique;11;<5;<5;6;0;<5;<5;<5;0;<5;7;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04098;Vélez-Blanco;101;6;19;21;<5;23;28;16;7;8;67;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04099;Vélez-Rubio;385;11;45;105;15;112;97;41;37;34;246;27
202301;Enero de 2023;1;Andalucía;4;Almería;04100;Vera;1295;52;204;268;61;318;392;110;56;102;925;102
202301;Enero de 2023;1;Andalucía;4;Almería;04101;Viator;512;19;80;91;19;166;137;36;21;34;377;44
202301;Enero de 2023;1;Andalucía;4;Almería;04102;Vícar;1822;82;318;391;70;502;459;340;48;160;1086;188
202301;Enero de 2023;1;Andalucía;4;Almería;04103;Zurgena;142;7;21;38;11;34;31;12;6;18;85;21
202301;Enero de 2023;1;Andalucía;4;Almería;04901;Tres Villas, Las;25;0;<5;11;<5;<5;5;5;0;<5;14;<5
202301;Enero de 2023;1;Andalucía;4;Almería;04902;Ejido, El;5091;196;767;1004;212;1457;1455;1121;143;318;2960;549
202301;Enero de 2023;1;Andalucía;4;Almería;04903;Mojonera, La;432;14;84;94;14;111;115;128;14;39;200;51
202301;Enero de 2023;1;Andalucía;4;Almería;04904;Balanegra;152;6;20;34;5;46;41;37;<5;9;86;18
202301;Enero de 2023;1;Andalucía;11;Cádiz;11001;Alcalá de los Gazules;693;27;97;126;36;181;226;52;33;57;506;45
202301;Enero de 2023;1;Andalucía;11;Cádiz;11002;Alcalá del Valle;325;15;61;104;15;60;70;76;6;21;202;20
202301;Enero de 2023;1;Andalucía;11;Cádiz;11003;Algar;152;<5;12;35;9;36;58;11;7;15;107;12
202301;Enero de 2023;1;Andalucía;11;Cádiz;11004;Algeciras;14630;609;2193;2740;654;3847;4587;268;681;1167;9972;2542
202301;Enero de 2023;1;Andalucía;11;Cádiz;11005;Algodonales;497;36;63;129;28;115;126;72;11;26;347;41
202301;Enero de 2023;1;Andalucía;11;Cádiz;11006;Arcos de la Frontera;4175;170;450;757;199;1137;1462;295;138;520;2899;323
202301;Enero de 2023;1;Andalucía;11;Cádiz;11007;Barbate;2982;119;448;617;112;706;980;125;230;235;2100;292
202301;Enero de 2023;1;Andalucía;11;Cádiz;11008;Barrios, Los;2485;121;349;386;102;668;859;56;171;197;1763;298
202301;Enero de 2023;1;Andalucía;11;Cádiz;11009;Benaocaz;57;<5;8;12;0;15;20;0;9;5;38;5
202301;Enero de 2023;1;Andalucía;11;Cádiz;11010;Bornos;702;38;123;179;43;175;144;90;11;79;469;53
202301;Enero de 2023;1;Andalucía;11;Cádiz;11011;Bosque, El;203;10;22;58;7;44;62;5;33;9;145;11
202301;Enero de 2023;1;Andalucía;11;Cádiz;11012;Cádiz;11606;314;1858;2659;313;2644;3818;82;683;805;8742;1294
202301;Enero de 2023;1;Andalucía;11;Cádiz;11013;Castellar de la Frontera;306;13;33;54;7;82;117;13;19;21;236;17
202301;Enero de 2023;1;Andalucía;11;Cádiz;11014;Conil de la Frontera;1957;61;292;442;50;484;628;62;63;194;1461;177
202301;Enero de 2023;1;Andalucía;11;Cádiz;11015;Chiclana de la Frontera;10038;427;1430;1959;364;2492;3366;129;511;1369;6540;1489
202301;Enero de 2023;1;Andalucía;11;Cádiz;11016;Chipiona;2315;85;403;481;90;598;658;169;59;242;1665;180
202301;Enero de 2023;1;Andalucía;11;Cádiz;11017;Espera;308;28;45;84;23;79;49;30;13;55;177;33
202301;Enero de 2023;1;Andalucía;11;Cádiz;11018;Gastor, El;147;5;17;59;9;27;30;12;6;25;100;<5
202301;Enero de 2023;1;Andalucía;11;Cádiz;11019;Grazalema;217;6;16;64;9;39;83;6;13;15;174;9
202301;Enero de 2023;1;Andalucía;11;Cádiz;11020;Jerez de la Frontera;26370;1019;3367;5174;960;6102;9748;950;1310;2303;18234;3573
202301;Enero de 2023;1;Andalucía;11;Cádiz;11021;Jimena de la Frontera;705;34;83;135;27;201;225;65;29;74;473;64
202301;Enero de 2023;1;Andalucía;11;Cádiz;11022;Línea de la Concepción, La;9466;408;1566;1930;494;2455;2613;102;664;985;5805;1910
202301;Enero de 2023;1;Andalucía;11;Cádiz;11023;Medina-Sidonia;1435;39;151;303;47;372;523;105;64;142;1036;88
202301;Enero de 2023;1;Andalucía;11;Cádiz;11024;Olvera;566;29;80;179;20;133;125;74;38;82;343;29
202301;Enero de 2023;1;Andalucía;11;Cádiz;11025;Paterna de Rivera;700;33;85;143;29;190;220;56;48;282;268;46
202301;Enero de 2023;1;Andalucía;11;Cádiz;11026;Prado del Rey;706;18;96;180;17;155;240;29;104;52;477;44
202301;Enero de 2023;1;Andalucía;11;Cádiz;11027;Puerto de Santa María, El;9634;306;1413;1916;310;2317;3372;135;438;751;7008;1302
202301;Enero de 2023;1;Andalucía;11;Cádiz;11028;Puerto Real;4769;204;724;985;165;1145;1546;66;508;416;3168;611
202301;Enero de 2023;1;Andalucía;11;Cádiz;11029;Puerto Serrano;423;35;73;117;42;98;58;84;13;54;235;37
202301;Enero de 2023;1;Andalucía;11;Cádiz;11030;Rota;2762;99;417;498;121;686;941;41;394;169;1864;294
202301;Enero de 2023;1;Andalucía;11;Cádiz;11031;San Fernando;10688;383;1503;2037;385;2579;3801;98;551;836;7537;1666
202301;Enero de 2023;1;Andalucía;11;Cádiz;11032;Sanlúcar de Barrameda;8390;362;1259;1663;315;2147;2644;822;370;854;5358;986
202301;Enero de 2023;1;Andalucía;11;Cádiz;11033;San Roque;3371;156;531;616;138;893;1037;51;227;504;2193;396
202301;Enero de 2023;1;Andalucía;11;Cádiz;11034;Setenil de las Bodegas;200;5;32;69;9;46;39;33;8;23;123;13
202301;Enero de 2023;1;Andalucía;11;Cádiz;11035;Tarifa;1535;62;246;320;51;328;528;32;53;77;1259;114
202301;Enero de 2023;1;Andalucía;11;Cádiz;11036;Torre Alháquime;76;7;13;26;6;15;9;16;<5;8;46;5
202301;Enero de 2023;1;Andalucía;11;Cádiz;11037;Trebujena;651;46;141;128;36;190;110;85;24;35;442;65
202301;Enero de 2023;1;Andalucía;11;Cádiz;11038;Ubrique;1610;46;182;373;47;327;635;22;659;70;766;93
202301;Enero de 2023;1;Andalucía;11;Cádiz;11039;Vejer de la Frontera;1552;44;210;349;55;337;557;55;35;162;1165;135
202301;Enero de 2023;1;Andalucía;11;Cádiz;11040;Villaluenga del Rosario;42;0;7;10;<5;9;14;<5;<5;<5;35;<5
202301;Enero de 2023;1;Andalucía;11;Cádiz;11041;Villamartín;1484;79;224;346;94;371;370;134;52;154;1030;114
202301;Enero de 2023;1;Andalucía;11;Cádiz;11042;Zahara;98;6;15;31;<5;22;20;13;<5;26;54;<5
202301;Enero de 2023;1;Andalucía;11;Cádiz;11901;Benalup-Casas Viejas;833;39;90;155;38;190;321;104;23;100;544;62
202301;Enero de 2023;1;Andalucía;11;Cádiz;11902;San José del Valle;512;20;62;121;26;151;132;70;19;83;308;32
202301;Enero de 2023;1;Andalucía;11;Cádiz;11903;San Martín del Tesorillo;255;9;48;59;6;68;65;14;7;23;195;16
202301;Enero de 2023;1;Andalucía;14;Córdoba;14001;Adamuz;137;5;25;39;<5;38;27;29;<5;11;87;6
202301;Enero de 2023;1;Andalucía;14;Córdoba;14002;Aguilar de la Frontera;672;40;106;168;29;188;141;71;49;85;409;58
202301;Enero de 2023;1;Andalucía;14;Córdoba;14003;Alcaracejos;111;8;7;30;<5;28;34;8;7;17;77;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14004;Almedinilla;115;6;11;21;5;42;30;10;16;<5;76;9
202301;Enero de 2023;1;Andalucía;14;Córdoba;14005;Almodóvar del Río;823;39;117;184;34;218;231;133;23;69;549;49
202301;Enero de 2023;1;Andalucía;14;Córdoba;14006;Añora;133;5;17;30;9;36;36;13;6;47;61;6
202301;Enero de 2023;1;Andalucía;14;Córdoba;14007;Baena;1158;44;161;219;91;329;314;192;94;86;682;104
202301;Enero de 2023;1;Andalucía;14;Córdoba;14008;Belalcázar;345;23;40;71;13;86;112;26;20;30;246;23
202301;Enero de 2023;1;Andalucía;14;Córdoba;14009;Belmez;370;16;49;74;14;110;107;14;19;96;217;24
202301;Enero de 2023;1;Andalucía;14;Córdoba;14010;Benamejí;219;10;27;50;17;71;44;31;16;29;121;22
202301;Enero de 2023;1;Andalucía;14;Córdoba;14011;Blázquez, Los;78;5;11;5;6;17;34;<5;<5;<5;63;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14012;Bujalance;372;16;42;73;36;118;87;105;22;44;168;33
202301;Enero de 2023;1;Andalucía;14;Córdoba;14013;Cabra;1456;57;193;287;67;414;438;144;133;87;970;122
202301;Enero de 2023;1;Andalucía;14;Córdoba;14014;Cañete de las Torres;108;<5;16;24;<5;31;31;17;<5;18;63;6
202301;Enero de 2023;1;Andalucía;14;Córdoba;14015;Carcabuey;112;<5;8;18;<5;41;39;17;8;<5;81;5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14016;Cardeña;103;5;14;21;6;29;28;11;<5;14;69;6
202301;Enero de 2023;1;Andalucía;14;Córdoba;14017;Carlota, La;920;33;134;199;45;257;252;135;70;80;570;65
202301;Enero de 2023;1;Andalucía;14;Córdoba;14018;Carpio, El;360;17;41;73;18;95;116;28;35;29;242;26
202301;Enero de 2023;1;Andalucía;14;Córdoba;14019;Castro del Río;328;<5;44;76;28;95;81;75;15;31;172;35
202301;Enero de 2023;1;Andalucía;14;Córdoba;14020;Conquista;23;0;<5;5;0;8;8;<5;0;<5;18;0
202301;Enero de 2023;1;Andalucía;14;Córdoba;14021;Córdoba;32246;1277;4615;6980;1240;7088;11046;1534;2736;2191;22072;3713
202301;Enero de 2023;1;Andalucía;14;Córdoba;14022;Doña Mencía;203;8;34;39;16;60;46;23;25;13;124;18
202301;Enero de 2023;1;Andalucía;14;Córdoba;14023;Dos Torres;175;6;12;32;7;46;72;8;20;42;101;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14024;Encinas Reales;163;13;21;40;6;34;49;17;17;27;91;11
202301;Enero de 2023;1;Andalucía;14;Córdoba;14025;Espejo;102;8;12;24;7;31;20;14;6;12;61;9
202301;Enero de 2023;1;Andalucía;14;Córdoba;14026;Espiel;230;14;29;47;8;49;83;28;30;31;126;15
202301;Enero de 2023;1;Andalucía;14;Córdoba;14027;Fernán-Núñez;683;26;111;168;26;203;149;69;44;71;443;56
202301;Enero de 2023;1;Andalucía;14;Córdoba;14028;Fuente la Lancha;44;<5;7;12;0;11;13;<5;0;19;23;0
202301;Enero de 2023;1;Andalucía;14;Córdoba;14029;Fuente Obejuna;597;20;74;138;22;122;221;62;32;59;416;28
202301;Enero de 2023;1;Andalucía;14;Córdoba;14030;Fuente Palmera;497;14;76;118;34;145;110;96;38;69;265;29
202301;Enero de 2023;1;Andalucía;14;Córdoba;14031;Fuente-Tójar;29;<5;5;<5;0;7;11;5;<5;0;21;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14032;Granjuela, La;64;<5;5;12;5;9;32;5;0;17;41;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14033;Guadalcázar;88;<5;10;15;<5;37;19;7;<5;7;71;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14034;Guijo, El;27;<5;<5;5;<5;7;<5;<5;0;0;26;0
202301;Enero de 2023;1;Andalucía;14;Córdoba;14035;Hinojosa del Duque;690;23;79;104;28;164;292;37;43;84;463;63
202301;Enero de 2023;1;Andalucía;14;Córdoba;14036;Hornachuelos;268;9;36;59;17;74;73;55;11;46;145;11
202301;Enero de 2023;1;Andalucía;14;Córdoba;14037;Iznájar;124;<5;15;30;9;32;36;17;15;9;74;9
202301;Enero de 2023;1;Andalucía;14;Córdoba;14038;Lucena;3851;141;504;719;179;1075;1233;338;827;212;2121;353
202301;Enero de 2023;1;Andalucía;14;Córdoba;14039;Luque;143;7;13;42;10;29;42;17;13;11;88;14
202301;Enero de 2023;1;Andalucía;14;Córdoba;14040;Montalbán de Córdoba;120;6;20;25;6;39;24;17;11;10;71;11
202301;Enero de 2023;1;Andalucía;14;Córdoba;14041;Montemayor;220;7;43;58;5;67;40;29;23;29;128;11
202301;Enero de 2023;1;Andalucía;14;Córdoba;14042;Montilla;1621;52;188;276;67;417;621;156;225;88;1013;139
202301;Enero de 2023;1;Andalucía;14;Córdoba;14043;Montoro;572;17;58;123;26;156;192;97;39;68;340;28
202301;Enero de 2023;1;Andalucía;14;Córdoba;14044;Monturque;123;8;16;20;11;36;32;23;11;10;69;10
202301;Enero de 2023;1;Andalucía;14;Córdoba;14045;Moriles;194;8;24;58;12;56;36;28;21;33;100;12
202301;Enero de 2023;1;Andalucía;14;Córdoba;14046;Nueva Carteya;156;9;22;33;7;46;39;31;8;11;86;20
202301;Enero de 2023;1;Andalucía;14;Córdoba;14047;Obejo;199;8;19;56;10;42;64;7;10;22;148;12
202301;Enero de 2023;1;Andalucía;14;Córdoba;14048;Palenciana;61;<5;8;12;6;20;12;13;<5;<5;36;5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14049;Palma del Río;1396;54;184;277;80;385;416;273;88;109;810;116
202301;Enero de 2023;1;Andalucía;14;Córdoba;14050;Pedro Abad;226;8;22;44;12;66;74;23;16;26;140;21
202301;Enero de 2023;1;Andalucía;14;Córdoba;14051;Pedroche;124;6;18;26;6;27;41;6;6;31;76;5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14052;Peñarroya-Pueblonuevo;1416;76;227;249;69;379;416;65;66;136;996;153
202301;Enero de 2023;1;Andalucía;14;Córdoba;14053;Posadas;497;17;60;102;21;142;155;56;21;42;353;25
202301;Enero de 2023;1;Andalucía;14;Córdoba;14054;Pozoblanco;1332;56;179;222;80;330;465;122;92;154;826;138
202301;Enero de 2023;1;Andalucía;14;Córdoba;14055;Priego de Córdoba;1523;50;187;293;70;392;531;160;225;113;903;122
202301;Enero de 2023;1;Andalucía;14;Córdoba;14056;Puente Genil;2797;130;423;498;151;797;798;424;377;226;1485;285
202301;Enero de 2023;1;Andalucía;14;Córdoba;14057;Rambla, La;361;13;57;79;18;100;94;40;62;20;210;29
202301;Enero de 2023;1;Andalucía;14;Córdoba;14058;Rute;458;17;52;127;28;115;119;75;62;51;234;36
202301;Enero de 2023;1;Andalucía;14;Córdoba;14059;San Sebastián de los Ballesteros;48;<5;7;16;<5;12;7;<5;<5;9;29;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14060;Santaella;156;5;24;31;5;62;29;23;19;6;105;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14061;Santa Eufemia;67;<5;<5;14;5;15;26;<5;<5;12;45;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14062;Torrecampo;75;0;10;23;<5;23;17;5;<5;10;52;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14063;Valenzuela;25;<5;5;5;0;5;9;<5;<5;<5;17;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14064;Valsequillo;37;<5;<5;<5;5;10;12;<5;0;13;18;5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14065;Victoria, La;153;8;25;41;11;31;37;17;9;22;92;13
202301;Enero de 2023;1;Andalucía;14;Córdoba;14066;Villa del Río;480;15;70;108;23;109;155;68;96;28;262;26
202301;Enero de 2023;1;Andalucía;14;Córdoba;14067;Villafranca de Córdoba;378;16;28;80;20;116;118;24;27;28;271;28
202301;Enero de 2023;1;Andalucía;14;Córdoba;14068;Villaharta;69;0;12;22;<5;13;20;0;<5;7;58;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14069;Villanueva de Córdoba;562;25;75;128;20;166;148;95;36;45;353;33
