sexo,turno,grupo,trabaja,notaA,notaB,notaC,notaD,notaE
Hombre,Mañana,A,N,6.4,7.2,6.5,5.8,2.4
Hombre,Mañana,B,S,6,7,6,5.1,0.6
Hombre,Tarde,C,N,5.9,6.9,6.1,5.4,0.4
Hombre,Mañana,B,N,8.1,NA,6.5,5.4,2.4
Hombre,Tarde,C,N,5.7,5.9,6.7,5.5,2.3
Mujer,Mañana,A,N,8.3,8.2,7.3,5,4.2
Mujer,Tarde,C,S,3.7,4.7,4.5,3.5,2.4
Hombre,Mañana,A,S,6.9,8.2,4.5,3.7,3.6
Mujer,Mañana,B,N,6.2,7.6,5.2,4.5,1
Mujer,Mañana,B,N,6.3,6.9,6.6,5.3,4.4
Hombre,Mañana,A,N,6.6,6.5,4.9,4.7,5.5
Hombre,Tarde,C,S,5.2,7.5,3.5,2.6,0.4
Hombre,Tarde,C,N,5.5,6.2,3.6,2.6,3.6
Hombre,Tarde,C,N,4.5,4.6,2.4,2.1,2.1
Mujer,Tarde,C,N,4.4,5.2,3,1.6,0.1
Hombre,Mañana,B,N,6.5,7.3,5.8,4.6,0.7
Mujer,Mañana,A,N,6.7,8.8,3.7,3.9,1.8
Hombre,Mañana,B,N,6.1,7.2,5.3,4.3,2
Hombre,Mañana,A,S,7.4,9.1,7.6,7.4,2.8
Mujer,Mañana,B,N,9.1,9.6,NA,NA,0.7
Mujer,Tarde,C,S,5.3,6.5,5.6,4.5,1.5
Mujer,Tarde,C,N,2.5,3.2,2.3,1.5,6.2
Mujer,Mañana,A,S,7.5,8.6,4.8,3.9,3.9
Hombre,Tarde,C,S,4.9,5,3.3,1.8,2.5
Mujer,Mañana,A,N,5,4.7,3.6,2.6,2.3
Mujer,Mañana,B,N,7.5,NA,7.2,5.7,3.7
Mujer,Tarde,C,S,5.6,7.2,4.5,3.8,0.7
Mujer,Tarde,C,N,4.2,3.9,1.9,1.5,7.4
Hombre,Mañana,B,N,6.3,6.7,7,4.8,4.7
Mujer,Tarde,C,S,5.8,5.6,5.7,5.3,1.9
Mujer,Mañana,A,S,6,9.2,5.2,3.6,9.2
Hombre,Mañana,A,N,6.6,8.9,6.8,6,0.5
Mujer,Tarde,C,N,5.4,6.2,3.1,2.4,1.6
Hombre,Mañana,A,N,7,8.5,6.6,5.5,2
Hombre,Tarde,C,S,5.7,6.3,4.1,2.8,4.2
Hombre,Mañana,A,N,6.5,7,6.2,5.3,4.1
Hombre,Mañana,B,N,7.6,7.9,6.6,5.8,6.5
Hombre,Mañana,A,S,6.7,7.1,6.3,5.7,2.1
Mujer,Tarde,C,N,5.5,8.2,5.8,3.8,5.1
Hombre,Mañana,A,N,7.7,8.7,6.7,4.9,NA
Mujer,Mañana,A,N,7.5,8.6,7.5,7.2,0.9
Mujer,Mañana,A,N,6.8,8.1,4.6,4.2,3.2
Hombre,Mañana,A,N,6.4,8.6,4.6,3.9,1.1
Hombre,Tarde,C,N,5.1,5.5,5.6,4.9,2.7
Mujer,Mañana,A,N,8,8,7.4,6.9,4.1
Mujer,Mañana,A,S,5.1,7.8,2,NA,2.4
Hombre,Mañana,B,N,9.3,9.8,6.9,6.5,0.6
Hombre,Mañana,B,N,8.3,8.6,7.1,5.9,2.1
Hombre,Mañana,A,N,5.6,5.4,5.5,4.6,4.8
Hombre,Tarde,C,N,4.5,4.2,3.4,2.2,2.3
Hombre,Tarde,C,S,4.9,5.4,4.6,4,2.3
Mujer,Mañana,A,S,6.4,8,6.3,5.2,2.7
Hombre,Tarde,C,S,5.6,7.7,6.3,5.6,1.5
Hombre,Mañana,A,N,5.5,7.2,4.5,3.3,2.6
Hombre,Tarde,C,N,4.6,5.2,3.5,2,2.3
Hombre,Mañana,B,N,5.9,7,3.2,2.8,3.5
Mujer,Tarde,C,N,4.8,5.1,3.9,3.3,1.3
Mujer,Tarde,C,S,3.5,3.8,1.9,1.8,2.1
Mujer,Tarde,C,N,5.4,7.3,3.5,2.5,4.6
Hombre,Mañana,B,N,7.4,7.4,6.2,5.8,1.1
Mujer,Tarde,C,S,5.1,8.1,5.2,5.1,4.5
Hombre,Mañana,A,N,6.9,7.8,3.9,2.8,NA
Hombre,Tarde,C,N,3.6,4.8,2.1,0.5,5.6
Hombre,Tarde,C,S,5.9,6.2,5,3.9,1.9
Hombre,Mañana,B,N,6.8,7.2,4.9,3.8,2.8
Hombre,Mañana,A,N,6.5,6.1,5.8,4.9,1.2
Mujer,Mañana,B,N,6.2,7,5.6,5.4,1.7
Mujer,Tarde,C,N,5,6.5,4,2.8,3.6
Hombre,Tarde,C,N,4.7,6,1.3,0.4,2.2
Hombre,Tarde,C,S,4.5,4.7,6,4.9,1.8
